root,course,reg_num,subj,crse,sect,title,units,instructor,days,time,start_time,end_time
root,course,10645,HIST,308,F01,Spcl Tops: Vietnam War,1.0,Segel,M-W-F,time,01:10PM,02:00
root,course,10646,HIST,308,F02,Spcl Tops: Vietnam War,1.0,Segel,M-W-F,time,02:10PM,03:00
root,course,10647,HIST,322,F,Subaltern Stds Historiography,1.0,Fix,M-W-F,time,01:10PM,02:00
root,course,10453,ART,201,F,Introduction to Art History,1.0,Diebold,T-Th,time,09:00AM,10:20
root,course,20630,HIST,325,S,The Family in China and Japan,1.0,Fix,T-Th,time,01:10PM,02:30
root,course,10648,HIST,335,F,Devel of Britain 1700-1830,1.0,Sacks,T-Th,time,10:30AM,11:50
root,course,20631,HIST,343,S01,The Third Reich,1.0,Mueller,T-Th,time,10:30AM,11:50
root,course,20632,HIST,343,S02,The Third Reich,1.0,Mueller,T-Th,time,01:10PM,02:30
root,course,20633,HIST,344,S01,The Russian Revolution,1.0,Smith,T-Th,time,10:30AM,11:50
root,course,20634,HIST,344,S02,The Russian Revolution,1.0,Smith,T-Th,time,02:40PM,04:00
root,course,10649,HIST,345,F,Weimar:State,Society  and Culture,1.0,Mueller,T-Th,time,01:10PM,02:30
root,course,10653,HIST,352,F,Old Regime France 1600-1750,1.0,Breen,M-W-F,time,02:10PM,03:00
root,course,20640,HIST,356,S,The French Enlightenment,1.0,Breen,M-W-F,time,02:10PM,03:00
root,course,20641,HIST,364,S,Civil War and Reconstruction,1.0,Iaccarino,M-W,time,03:10PM,04:30
root,course,20461,ART,201,S01,Introduction to Art History,1.0,Diebold,M-W,time,03:10PM,04:30
root,course,20635,HIST,367,S01,Gender and History,1.0,Dirks,T-Th,time,01:10PM,02:30
root,course,20636,HIST,367,S02,Gender and History,1.0,Dirks,T-Th,time,02:40PM,04:00
root,course,10650,HIST,369,F,American Slavery,1.0,Iaccarino,M-W,time,03:10PM,04:30
root,course,20637,HIST,384,S01,Mexico: Indepdence toRevolutn,1.0,Garrett,M-W,time,03:10PM,04:30
root,course,20638,HIST,384,S02,Mexico: Indepdence toRevolutn,1.0,Garrett,T-Th,time,09:00AM,10:20
root,course,10651,HIST,386,F,Mexico  and  the Spanish Conquest,1.0,Garrett,T-Th,time,09:00AM,10:20
root,course,10800,HIST,386,F02,Mexico  and  the Spanish Conquest,1.0,Garrett,T-Th,time,10:30AM,11:50
root,course,10490,HIST,393,F,Ancient History: Rome,1.0,Kelly,M-W,time,03:10PM,04:30
root,course,20489,HIST,394,S,Specl Topics in Roman History,1.0,Kelly,M-W,time,03:10PM,04:30
root,course,10652,HIST,411,F,Jun Sem: Depression Era U.S.,1.0,Dirks,T-Th,time,02:40PM,04:00
root,course,10579,ANTH,211,F03,Introduction to Anthropology,1.0,Stasch,T-Th,time,10:30AM,11:50
root,course,20462,ART,201,S02,Introduction to Art History,1.0,Diebold,T-Th,time,10:30AM,11:50
root,course,20639,HIST,412,S,Sem: Comty, Auth, Cult15-1700,1.0,Sacks,T-Th,time,10:30AM,11:50
root,course,10072,HUM,110,Y,West Humanities: Greece  and Rome,0.0,King,M-W-F,time,09:00AM,09:50
root,course,10148,HUM,110,Y01,West Humanities: Greece  and Rome,0.0,Arnold,M-W-F,time,10:00AM,10:50
root,course,10149,HUM,110,Y02,West Humanities: Greece  and Rome,0.0,Drumm,M-W-F,time,10:00AM,10:50
root,course,10150,HUM,110,Y03,West Humanities: Greece  and Rome,0.0,Englert,M-W-F,time,10:00AM,10:50
root,course,10151,HUM,110,Y04,West Humanities: Greece  and Rome,0.0,Sherman,M-W-F,time,10:00AM,10:50
root,course,10152,HUM,110,Y05,West Humanities: Greece  and Rome,0.0,Leveen,M-W-F,time,10:00AM,10:50
root,course,10153,HUM,110,Y06,West Humanities: Greece  and Rome,0.0,Arkonovich,M-W-F,time,11:00AM,11:50
root,course,10154,HUM,110,Y07,West Humanities: Greece  and Rome,0.0,Gillcrist,M-W-F,time,11:00AM,11:50
root,course,10155,HUM,110,Y08,West Humanities: Greece  and Rome,0.0,Breen,M-W-F,time,11:00AM,11:50
root,course,10460,ART,271,F,Introductory Painting,1.0,Knutson,M-W,time,07:10PM,10:00
root,course,10156,HUM,110,Y09,West Humanities: Greece  and Rome,0.0,Baker,M-W-F,time,11:00AM,11:50
root,course,10157,HUM,110,Y10,West Humanities: Greece  and Rome,0.0,Duquette,M-W-F,time,12:00PM,12:50
root,course,10158,HUM,110,Y11,West Humanities: Greece  and Rome,0.0,Nicholson,M-W-F,time,12:00PM,12:50
root,course,10159,HUM,110,Y12,West Humanities: Greece  and Rome,0.0,Stauder,M-W-F,time,01:10PM,02:00
root,course,10160,HUM,110,Y13,West Humanities: Greece  and Rome,0.0,Feener,M-W-F,time,01:10PM,02:00
root,course,10161,HUM,110,Y14,West Humanities: Greece  and Rome,0.0,Delehanty,M-W-F,time,02:10PM,03:00
root,course,10749,HUM,110,Y25,West Humanities: Greece  and Rome,0.0,Foat,M-W-F,time,02:10PM,03:00
root,course,10162,HUM,110,Y15,West Humanities: Greece  and Rome,0.0,Mandell,M-W,time,03:10PM,04:30
root,course,10163,HUM,110,Y16,West Humanities: Greece  and Rome,0.0,King,M-W,time,03:10PM,04:30
root,course,10164,HUM,110,Y17,West Humanities: Greece  and Rome,0.0,David,T-Th,time,09:00AM,10:20
root,course,20467,ART,272,S,Introductory Painting II,1.0,Knutson,M-W,time,07:10PM,10:00
root,course,10165,HUM,110,Y18,West Humanities: Greece  and Rome,0.0,Latham,T-Th,time,09:00AM,10:20
root,course,10775,HUM,110,Y26,West Humanities: Greece  and Rome,0.0,Wolfe,T-Th,time,09:00AM,10:20
root,course,10166,HUM,110,Y19,West Humanities: Greece  and Rome,0.0,Mieszkowski,T-Th,time,10:30AM,11:50
root,course,10168,HUM,110,Y21,West Humanities: Greece  and Rome,0.0,Kelly,T-Th,time,01:10PM,02:30
root,course,10169,HUM,110,Y22,West Humanities: Greece  and Rome,0.0,Hendrickson,T-Th,time,01:10PM,02:30
root,course,10318,HUM,110,Y23,West Humanities: Greece  and Rome,0.0,Sacks,T-Th,time,02:40PM,04:00
root,course,10323,HUM,110,Y24,West Humanities: Greece  and Rome,0.0,Iaccarino,T-Th,time,02:40PM,04:00
root,course,10073,HUM,210,Y,Early Modern Europe,0.0,Knapp,M-W,time,01:10PM,02:00
root,course,10175,HUM,210,Y01,Early Modern Europe,0.0,Knapp,M-W-F,time,11:00AM,11:50
